sku,name,price,image_filenames,primary_image,product_url
03R06W,Sm wood tool box,,03R06W_0.png|03R06W_1.jpg,03R06W_0.png,https://bowenstreet.ricoconsign.com/store/product/Furniture/03R06W
08Z07G,Honey Drizzle Cake Wax Melt Clamshell,,08Z07G_0.png|08Z07G_1.png|08Z07G_2.jpg,08Z07G_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z07G
02G084,Corner Shelving Unit,,02G084_0.png|02G084_1.jpg|02G084_2.jpg,02G084_0.png,https://bowenstreet.ricoconsign.com/store/product/Furniture/02G084
0BF058,Pink Aqua Galaxy painting,,0BF058_0.png|0BF058_1.jpg,0BF058_0.png,https://bowenstreet.ricoconsign.com/store/product/Original%20Art/0BF058
00O01W,Retire,,00O01W_0.png|00O01W_1.jpg,00O01W_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/00O01W
01I0RL,Armchair,,01I0RL_0.png|01I0RL_1.jpeg,01I0RL_0.png,https://bowenstreet.ricoconsign.com/store/product/Furniture/01I0RL
0B004B,I don't give a rat's ass cloth Booth 64,,0B004B_0.png|0B004B_1.jpg,0B004B_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B004B
0BF06C,Blue beaded kids bracelet,,0BF06C_0.png,0BF06C_0.png,https://bowenstreet.ricoconsign.com/store/product/Jewelry/0BF06C
0A30DB,Gap 1969 Jean jacket,,0A30DB_0.png|0A30DB_1.jpg|0A30DB_2.jpg|0A30DB_3.jpg,0A30DB_0.png,https://bowenstreet.ricoconsign.com/store/product/Vintage%20Clothing/0A30DB
0B004H,Nope not Today pouch Booth 64,,0B004H_0.png|0B004H_1.jpg,0B004H_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B004H
00000F,4 wood chairs,,00000F_0.png|00000F_1.jpg|00000F_2.jpg|00000F_3.jpg|00000F_4.jpg|00000F_5.jpg|00000F_6.jpg,00000F_0.png,https://bowenstreet.ricoconsign.com/store/product/Vintage%20Furniture/00000F
03R0CP,Strohs belt buckle,,03R0CP_0.png|03R0CP_1.jpeg,03R0CP_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/03R0CP
0B0046,Coffee and Sarcasm Booth 64,,0B0046_0.png|0B0046_1.jpg,0B0046_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B0046
02G04Q,Antique Dresser dovetail drawers,,02G04Q_0.png,02G04Q_0.png,https://bowenstreet.ricoconsign.com/store/product/Vintage%20Furniture/02G04Q
0B003X,Butterfly card,,0B003X_0.png|0B003X_1.jpg,0B003X_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/0B003X
08Z08H,Sweater Weather Wax Melt Clamshell,,08Z08H_0.png|08Z08H_1.png|08Z08H_2.jpg,08Z08H_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z08H
0B003W,Tote Bag T64,,0B003W_0.png|0B003W_1.jpg,0B003W_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B003W
0B100V,Magnet 4  Booth 64,,0B100V_0.png|0B100V_1.jpg,0B100V_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0B100V
0CA009,Blue Large Dragonfly,,0CA009_0.png|0CA009_1.jpg,0CA009_0.png,https://bowenstreet.ricoconsign.com/store/product/Original%20Art/0CA009
0B100F,Pink bow hair tie 1739 #64,,0B100F_0.png|0B100F_1.jpg,0B100F_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/0B100F
0B0049,Dog Mama tote bag Booth 64,,0B0049_0.png|0B0049_1.jpg,0B0049_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B0049
08Z08N,Breakfast in Bed Wax Melt,,08Z08N_0.png|08Z08N_1.png|08Z08N_2.jpg,08Z08N_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z08N
02O08A,Vtg. Iron Trivet w/ 2 Vtg. Magnets,,02O08A_0.png|02O08A_1.jpg,02O08A_0.png,https://bowenstreet.ricoconsign.com/store/product/Upcycled%20Items/02O08A
0BF056,Large abstract pastel gold ring painting,,0BF056_0.png|0BF056_1.jpg,0BF056_0.png,https://bowenstreet.ricoconsign.com/store/product/Original%20Art/0BF056
0B003M,Vintage cheese drum with texture paint 14” - booth 64,,0B003M_0.png|0B003M_1.jpeg|0B003M_2.jpeg|0B003M_3.jpeg,0B003M_0.png,https://bowenstreet.ricoconsign.com/store/product/Original%20Art/0B003M
0B003Z,Plant moon spinners - booth 64,,0B003Z_0.png|0B003Z_1.jpeg,0B003Z_0.png,https://bowenstreet.ricoconsign.com/store/product/Outside/0B003Z
0B100Y,Magnet 7.  Booth 64,,0B100Y_0.png|0B100Y_1.jpg,0B100Y_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0B100Y
08Z07S,Positive Energy Wood Wick Candle,,08Z07S_0.png|08Z07S_1.png|08Z07S_2.jpg|08Z07S_3.jpg|08Z07S_4.jpg,08Z07S_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z07S
08Z073,Mountain Pine Wax Melt Clamshell,,08Z073_0.png|08Z073_1.png|08Z073_2.jpg,08Z073_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z073
0CB00U,Vintage Raggedy Ann & Andy in Glass Frame,,0CB00U_0.png,0CB00U_0.png,https://bowenstreet.ricoconsign.com/store/product/Vintage/0CB00U
01D09D,Chalkware Wall Art,,01D09D_0.png|01D09D_1.jpg,01D09D_0.png,https://bowenstreet.ricoconsign.com/store/product/Vintage/01D09D
0BZ02H,Scoopable Wax- Ocean Driftwood,,0BZ02H_0.png|0BZ02H_1.jpeg,0BZ02H_0.png,https://bowenstreet.ricoconsign.com/store/product/Specialty%20Items/0BZ02H
03R0D0,Asst small tags,,03R0D0_0.png|03R0D0_1.jpg,03R0D0_0.png,https://bowenstreet.ricoconsign.com/store/product/Upcycled%20Items/03R0D0
0B100D,Star/moon night light 1739 #64,,0B100D_0.png|0B100D_1.jpg|0B100D_2.jpg,0B100D_0.png,https://bowenstreet.ricoconsign.com/store/product/Upcycled%20Items/0B100D
03R07K,Apron 3,,03R07K_0.png|03R07K_1.jpg,03R07K_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/03R07K
01I0QS,Vintage Sony KV-9200 Trinitron Portable TV,,01I0QS_0.png|01I0QS_1.jpeg|01I0QS_2.jpeg|01I0QS_3.jpeg|01I0QS_4.jpeg,01I0QS_0.png,https://bowenstreet.ricoconsign.com/store/product/BowenStreet%20Repeats/01I0QS
0BZ02F,Scoopable Wax- Caramel Marshmallow,,0BZ02F_0.png|0BZ02F_1.jpeg,0BZ02F_0.png,https://bowenstreet.ricoconsign.com/store/product/Specialty%20Items/0BZ02F
0AP04A,Crocheted Bag,,0AP04A_0.png|0AP04A_1.jpg|0AP04A_2.jpg,0AP04A_0.png,https://bowenstreet.ricoconsign.com/store/product/Specialty%20Items/0AP04A
0B100T,Magnet 2 Booth 64,,0B100T_0.png|0B100T_1.jpg,0B100T_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0B100T
01I0UX,Beaumont Clambroth Console Bowl,,01I0UX_0.png|01I0UX_1.jpeg|01I0UX_2.jpeg|01I0UX_3.jpeg,01I0UX_0.png,https://bowenstreet.ricoconsign.com/store/product/Vintage/01I0UX
03R04J,Holiday apron,,03R04J_0.png|03R04J_1.jpeg,03R04J_0.png,https://bowenstreet.ricoconsign.com/store/product/Vintage%20Clothing/03R04J
01D09E,Glass Lamp shade,,01D09E_0.png|01D09E_1.jpg,01D09E_0.png,https://bowenstreet.ricoconsign.com/store/product/Vintage/01D09E
0B0036,Christmas card with envelope 64,,0B0036_0.png|0B0036_1.jpg,0B0036_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/0B0036
07U081,Water globe,,07U081_0.png|07U081_1.jpg,07U081_0.png,https://bowenstreet.ricoconsign.com/store/product/Outside/07U081
0B003T,Butterfly zippered pouch,,0B003T_0.png|0B003T_1.jpg,0B003T_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B003T
0AI05C,Toadily Handmand,,0AI05C_0.png,0AI05C_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/0AI05C
01I0UF,Vintage Sony TV-700U Portable TV,,01I0UF_0.png|01I0UF_1.jpeg|01I0UF_2.jpeg|01I0UF_3.jpeg|01I0UF_4.jpeg|01I0UF_5.jpeg,01I0UF_0.png,https://bowenstreet.ricoconsign.com/store/product/BowenStreet%20Repeats/01I0UF
0B0035,Christian Stickers 64,,0B0035_0.png|0B0035_1.jpg,0B0035_0.png,https://bowenstreet.ricoconsign.com/store/product/Stickers/0B0035
0B004C,Racoon microfiber Booth 64,,0B004C_0.png,0B004C_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B004C
0B003H,Valentine stickers 2,,0B003H_0.png|0B003H_1.jpg,0B003H_0.png,https://bowenstreet.ricoconsign.com/store/product/Stickers/0B003H
01109E,Rubber Duckies w/tubes,,01109E_0.png|01109E_1.jpeg,01109E_0.png,https://bowenstreet.ricoconsign.com/store/product/Handmade%20items/01109E
02G05J,VINTAGE SWEATERh,,02G05J_0.png|02G05J_1.jpg|02G05J_2.jpg,02G05J_0.png,https://bowenstreet.ricoconsign.com/store/product/Vintage%20Clothing/02G05J
02G05V,Rue 21 Pantsh,,02G05V_0.png|02G05V_1.jpg|02G05V_2.jpg,02G05V_0.png,https://bowenstreet.ricoconsign.com/store/product/Second%20hand%20clothes/02G05V
01I0QT,Vintage 7-Up Vending Cooler,,01I0QT_0.png|01I0QT_1.jpeg,01I0QT_0.png,https://bowenstreet.ricoconsign.com/store/product/BowenStreet%20Repeats/01I0QT
0B003R,Tote bag T64,,0B003R_0.png|0B003R_1.jpg,0B003R_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B003R
0050BJ,Bird houses & feeders (2),,0050BJ_0.png|0050BJ_1.png,0050BJ_0.png,https://bowenstreet.ricoconsign.com/store/product/Studio%20Class/0050BJ
03R07O,Vintage sweater kids,,03R07O_0.png|03R07O_1.jpg,03R07O_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/03R07O
0C600A,Adjustable Bracelet,,0C600A_0.png|0C600A_1.jpg,0C600A_0.png,https://bowenstreet.ricoconsign.com/store/product/Jewelry/0C600A
0B004G,Smiles tote bag Booth 64,,0B004G_0.png|0B004G_1.jpg,0B004G_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B004G
08Z04S,Blue Spruce Wax Melt Clamshell,,08Z04S_0.png|08Z04S_1.png|08Z04S_2.jpg,08Z04S_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z04S
0B003G,Valentine stickers 1,,0B003G_0.png|0B003G_1.jpg,0B003G_0.png,https://bowenstreet.ricoconsign.com/store/product/Stickers/0B003G
0B0047,Patchwork clover Booth 64,,0B0047_0.png|0B0047_1.jpg,0B0047_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B0047
0BZ029,Scoopable Wax - lavender lemon,,0BZ029_0.png|0BZ029_1.jpeg,0BZ029_0.png,https://bowenstreet.ricoconsign.com/store/product/Specialty%20Items/0BZ029
0CB00V,Vintage Lithograph artwork of Raggedy Ann and Andy,,0CB00V_0.png|0CB00V_1.jpg|0CB00V_2.jpg,0CB00V_0.png,https://bowenstreet.ricoconsign.com/store/product/Vintage/0CB00V
03R025,Fabric tags,,03R025_0.png|03R025_1.jpg|03R025_2.jpg,03R025_0.png,https://bowenstreet.ricoconsign.com/store/product/Upcycled%20Items/03R025
08Z010,Cozy Cabin Wax Melt Clamshell,,08Z010_0.png|08Z010_1.png|08Z010_2.jpg,08Z010_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z010
0B0038,Snowman card w/envelope 64,,0B0038_0.png|0B0038_1.jpg,0B0038_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/0B0038
03R0CV,Napkins,,03R0CV_0.png|03R0CV_1.jpg,03R0CV_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/03R0CV
0B0044,Inner Peace magnet Booth 64,,0B0044_0.png|0B0044_1.jpg|0B0044_2.jpg,0B0044_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B0044
0B0045,Despite the look on my face  magnet Booth 64,,0B0045_0.png|0B0045_1.jpg,0B0045_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B0045
0B0048,Flower tote bag Booth 64,,0B0048_0.png|0B0048_1.jpg,0B0048_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B0048
0B004E,Purple butterfly MF Booth 64,,0B004E_0.png|0B004E_1.jpg,0B004E_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B004E
0B004F,Books tote bag Booth 64,,0B004F_0.png|0B004F_1.jpg,0B004F_0.png,https://bowenstreet.ricoconsign.com/store/product/Accesories/0B004F
02G04N,LEVI JACKETh,,02G04N_0.png|02G04N_1.jpg,02G04N_0.png,https://bowenstreet.ricoconsign.com/store/product/Adult%20clothing/02G04N
04800V,Mama & Mini hat,,04800V_0.png|04800V_1.jpg,04800V_0.png,https://bowenstreet.ricoconsign.com/store/product/Adult%20clothing/04800V
01I0QU,Large Antique Brass Light Fixture,,01I0QU_0.png|01I0QU_1.jpeg,01I0QU_0.png,https://bowenstreet.ricoconsign.com/store/product/BowenStreet%20Repeats/01I0QU
01I0SS,Desk Lamp,,01I0SS_0.png|01I0SS_1.jpg,01I0SS_0.png,https://bowenstreet.ricoconsign.com/store/product/BowenStreet%20Repeats/01I0SS
01I0T3,Tripp Lite Amber Rotating Beacon Light,,01I0T3_0.png|01I0T3_1.jpeg|01I0T3_2.jpeg,01I0T3_0.png,https://bowenstreet.ricoconsign.com/store/product/BowenStreet%20Repeats/01I0T3
01I0TN,Miller Lite GB Packers Light Up Sign,,01I0TN_0.png|01I0TN_1.jpeg|01I0TN_2.jpeg|01I0TN_3.jpeg|01I0TN_4.jpeg,01I0TN_0.png,https://bowenstreet.ricoconsign.com/store/product/BowenStreet%20Repeats/01I0TN
01I0UG,Harmony House Platinum Garland China,,01I0UG_0.png|01I0UG_1.jpeg|01I0UG_2.jpeg|01I0UG_3.jpeg|01I0UG_4.jpeg,01I0UG_0.png,https://bowenstreet.ricoconsign.com/store/product/BowenStreet%20Repeats/01I0UG
08Z076,S'more to Love Wax Melt Clamshell,,08Z076_0.png|08Z076_1.png|08Z076_2.jpg,08Z076_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z076
08Z07A,Snow Day Cravings Wax Melt Clamshell,,08Z07A_0.png|08Z07A_1.png|08Z07A_2.jpg,08Z07A_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z07A
08Z07E,Bourbon Glaze Wax Melt Clamshell,,08Z07E_0.png|08Z07E_1.png|08Z07E_2.jpg,08Z07E_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z07E
08Z07F,Cedar Glow Wax Melt Clamshell,,08Z07F_0.png|08Z07F_1.png|08Z07F_2.jpg,08Z07F_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z07F
08Z07J,Spiced Vanilla Wax Melt,,08Z07J_0.png|08Z07J_1.png|08Z07J_2.jpg,08Z07J_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z07J
08Z07T,Oakmoss and Amber Wax Melt Clamshell,,08Z07T_0.png|08Z07T_1.png|08Z07T_2.jpg,08Z07T_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z07T
08Z07V,Cranberry Fizz Wax Melt Clamshell,,08Z07V_0.png|08Z07V_1.png|08Z07V_2.jpg,08Z07V_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z07V
08Z08B,Cotton & Blossom Wax Melt Clamshell,,08Z08B_0.png|08Z08B_1.png|08Z08B_2.jpg,08Z08B_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/08Z08B
0BG00Q,Candle holder,,0BG00Q_0.png|0BG00Q_1.jpg,0BG00Q_0.png,https://bowenstreet.ricoconsign.com/store/product/Candles/0BG00Q
00O01L,Box of 6 Notecards,,00O01L_0.png|00O01L_1.jpg|00O01L_2.jpg|00O01L_3.jpg|00O01L_4.jpg|00O01L_5.jpg|00O01L_6.jpg,00O01L_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/00O01L
00O01T,B-Day Cards,,00O01T_0.png|00O01T_1.jpg|00O01T_2.jpg|00O01T_3.jpg|00O01T_4.jpg|00O01T_5.jpg|00O01T_6.jpg|00O01T_7.jpg|00O01T_8.jpg|00O01T_9.jpg|00O01T_10.jpg|00O01T_11.jpg|00O01T_12.jpg|00O01T_13.jpg|00O01T_14.jpg|00O01T_15.jpg|00O01T_16.jpg,00O01T_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/00O01T
00O01V,MD,,00O01V_0.png|00O01V_1.jpg|00O01V_2.jpg|00O01V_3.jpg|00O01V_4.jpg|00O01V_5.jpg,00O01V_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/00O01V
00O01X,Boxed Notecards,,00O01X_0.png|00O01X_1.jpg|00O01X_2.jpg|00O01X_3.jpg|00O01X_4.jpg|00O01X_5.jpg|00O01X_6.jpg|00O01X_7.jpg|00O01X_8.jpg,00O01X_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/00O01X
00O01Y,BABY,,00O01Y_0.png|00O01Y_1.jpg|00O01Y_2.jpg|00O01Y_3.jpg|00O01Y_4.jpg|00O01Y_5.jpg|00O01Y_6.jpg,00O01Y_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/00O01Y
00O02A,Wedding & Anniversary Cards,,00O02A_0.png|00O02A_1.jpg|00O02A_2.jpg|00O02A_3.jpg|00O02A_4.jpg,00O02A_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/00O02A
03R01E,Cards ephemera,,03R01E_0.png,03R01E_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/03R01E
0B003A,Merry Christmas card,,0B003A_0.png|0B003A_1.jpg,0B003A_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/0B003A
0B003D,Valentine Card 1,,0B003D_0.png|0B003D_1.jpg,0B003D_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/0B003D
0B003E,Valentine card 2,,0B003E_0.png|0B003E_1.jpg,0B003E_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/0B003E
